"","meanSIS","meanRain","nEvents","windowstart","windowend","hours","variable","value","measure"
"184",115.423959062294,0.879120879120879,277,2000-05-13,2000-08-11,57.7833333333333,"Alison",71,"stren"
"185",116.188203461321,0.492307692307692,930,2001-05-08,2001-08-06,304.733333333333,"Alison",175,"stren"
"186",194.647092702859,1.36703296703297,1006,2001-08-06,2001-11-04,360.816666666667,"Alison",261,"stren"
"187",281.952382471119,1.10549450549451,384,2001-11-04,2002-02-02,161.666666666667,"Alison",120,"stren"
"188",195.672306732752,0.630769230769231,463,2002-02-02,2002-05-03,259.3,"Alison",138,"stren"
"189",221.762815127641,1.05714285714286,519,2002-08-01,2002-10-30,86.55,"Alison",162,"stren"
"190",194.889315364791,1.75824175824176,780,2003-01-28,2003-04-28,196.616666666667,"Alison",240,"stren"
"191",114.000779670787,1.49450549450549,1771,2003-04-28,2003-07-27,284.35,"Alison",474,"stren"
"192",199.659365200692,1.05274725274725,713,2003-07-27,2003-10-25,172.4,"Alison",168,"stren"
"193",285.345857569609,0.703296703296703,684,2003-10-25,2004-01-23,170.95,"Alison",182,"stren"
"194",196.49287659664,1.65934065934066,1549,2004-01-23,2004-04-22,327.8,"Alison",391,"stren"
"195",117.464646961206,0.70989010989011,2018,2004-04-22,2004-07-21,405.333333333333,"Alison",428,"stren"
"196",288.554791884825,1.61538461538462,1271,2004-10-19,2005-01-17,283.25,"Alison",174,"stren"
"197",190.992201581347,0.775824175824176,345,2005-07-16,2005-10-14,121.866666666667,"Alison",51,"stren"
"198",301.689234566828,0.602197802197802,480,2005-10-14,2006-01-12,174.383333333333,"Alison",75,"stren"
"199",215.151421241374,0.298901098901099,540,2006-01-12,2006-04-12,251.783333333333,"Alison",89,"stren"
"200",171.824312852352,2.32747252747253,573,2006-07-11,2006-10-09,172.066666666667,"Alison",103,"stren"
"209",115.423959062294,0.879120879120879,277,2000-05-13,2000-08-11,57.7833333333333,"Lynn",28,"stren"
"210",116.188203461321,0.492307692307692,930,2001-05-08,2001-08-06,304.733333333333,"Lynn",189,"stren"
"211",194.647092702859,1.36703296703297,1006,2001-08-06,2001-11-04,360.816666666667,"Lynn",214,"stren"
"212",281.952382471119,1.10549450549451,384,2001-11-04,2002-02-02,161.666666666667,"Lynn",88,"stren"
"213",195.672306732752,0.630769230769231,463,2002-02-02,2002-05-03,259.3,"Lynn",127,"stren"
"214",221.762815127641,1.05714285714286,519,2002-08-01,2002-10-30,86.55,"Lynn",152,"stren"
"215",194.889315364791,1.75824175824176,780,2003-01-28,2003-04-28,196.616666666667,"Lynn",171,"stren"
"216",114.000779670787,1.49450549450549,1771,2003-04-28,2003-07-27,284.35,"Lynn",448,"stren"
"217",199.659365200692,1.05274725274725,713,2003-07-27,2003-10-25,172.4,"Lynn",139,"stren"
"218",285.345857569609,0.703296703296703,684,2003-10-25,2004-01-23,170.95,"Lynn",151,"stren"
"219",196.49287659664,1.65934065934066,1549,2004-01-23,2004-04-22,327.8,"Lynn",241,"stren"
"220",117.464646961206,0.70989010989011,2018,2004-04-22,2004-07-21,405.333333333333,"Lynn",365,"stren"
"221",288.554791884825,1.61538461538462,1271,2004-10-19,2005-01-17,283.25,"Lynn",202,"stren"
"222",190.992201581347,0.775824175824176,345,2005-07-16,2005-10-14,121.866666666667,"Lynn",44,"stren"
"223",301.689234566828,0.602197802197802,480,2005-10-14,2006-01-12,174.383333333333,"Lynn",39,"stren"
"224",215.151421241374,0.298901098901099,540,2006-01-12,2006-04-12,251.783333333333,"Lynn",63,"stren"
"225",171.824312852352,2.32747252747253,573,2006-07-11,2006-10-09,172.066666666667,"Lynn",74,"stren"
"233",229.431272104618,1.17362637362637,275,1999-08-17,1999-11-15,101.166666666667,"Bridget",18,"stren"
"234",115.423959062294,0.879120879120879,277,2000-05-13,2000-08-11,57.7833333333333,"Bridget",19,"stren"
"235",116.188203461321,0.492307692307692,930,2001-05-08,2001-08-06,304.733333333333,"Bridget",195,"stren"
"236",194.647092702859,1.36703296703297,1006,2001-08-06,2001-11-04,360.816666666667,"Bridget",232,"stren"
"237",281.952382471119,1.10549450549451,384,2001-11-04,2002-02-02,161.666666666667,"Bridget",74,"stren"
"238",195.672306732752,0.630769230769231,463,2002-02-02,2002-05-03,259.3,"Bridget",133,"stren"
"251",123.083386613225,1.28571428571429,1334,1997-05-29,1997-08-27,278,"Belinda",171,"stren"
"252",253.786315655469,1.76043956043956,1769,1997-08-27,1997-11-25,406,"Belinda",267,"stren"
"253",280.90089787264,1.11428571428571,1521,1997-11-25,1998-02-23,259.5,"Belinda",237,"stren"
"254",155.275202807579,2.61758241758242,880,1998-02-23,1998-05-24,147.5,"Belinda",113,"stren"
"255",128.256327465637,1.29450549450549,777,1998-05-24,1998-08-22,174.683333333333,"Belinda",63,"stren"
"256",240.136666684914,1.15604395604396,1142,1998-08-22,1998-11-20,394.983333333333,"Belinda",139,"stren"
